"","Ecoregion","ai","pi"
"1","South Central Atlantic Gyre",1513354.43594781,471093.011029123
"2","Equatorial Atlantic",1386527.61850339,433077.609141422
"3","Amazonia",291604.62102208,31953.9177343399
"4","Southeastern Brazil",155534.061474955,14030.8448670275
"5","Northeastern Brazil",82770.0807041587,11013.6755070936
"6","Eastern Brazil",110520.34959009,8874.36364023761
"7","Fernando de Naronha and Atoll das Rocas",428.080069508657,427.569468006951
"8","Trindade and Martin Vaz Islands",561.602531298833,423.664699103622
"9","Rio Grande",114533.310562415,346.267303760169
"10","Sao Pedro and Sao Paulo Islands",77.7861318492763,77.7861318492763
