"","Ecoregion","ai","pi"
"1","Sumatran montane rain forests",72617.8315850646,23159.9097905249
"2","Borneo montane rain forests",80742.455065314,22223.0726836652
"3","Central Range Papuan montane rain forests",74502.3563575331,21038.1512045182
"4","Sumatran lowland rain forests",256706.643435617,18172.7120518763
"5","Northern New Guinea lowland rain and freshwater swamp forests",59267.1698556742,13801.1268074527
"6","Vogelkop montane rain forests",21518.8935536289,12266.1679505795
"7","Sulawesi montane rain forests",75471.6852053824,11129.5242483872
"8","Southern New Guinea freshwater swamp forests",50040.3597700363,8524.4509527986
"9","Borneo lowland rain forests",289808.159836891,8253.94477627695
"10","Sulawesi lowland rain forests",112480.293548553,8129.15066737986
"11","Sundaland heath forests",75432.2227963039,7358.78462899527
"12","Sumatran peat swamp forests",87016.1846547042,6655.50725739864
"13","Vogelkop-Aru lowland rain forests",73839.8984466371,6594.24242000097
"14","Papuan Central Range sub-alpine grasslands",9720.33682643262,6030.51679799979
"15","New Guinea mangroves",19797.1759657211,5634.89667040264
"16","Southern New Guinea lowland rain forests",75332.6021878785,5332.17099156972
"17","Southwest Borneo freshwater swamp forests",36520.147405491,5220.71522344143
"18","Borneo peat swamp forests",45713.0579400397,4530.16917039642
"19","Trans Fly savanna and grasslands",8158.63834829727,4051.42930873164
"20","Northern New Guinea montane rain forests",16556.5354046013,3384.70532832056
"21","Sunda Shelf mangroves",26608.8270119647,3186.56598420609
"22","Lesser Sundas deciduous forests",38136.394111927,2904.61618385069
"23","Halmahera rain forests",25321.0138247714,2047.61278721342
"24","Western Java montane rain forests",26170.9426405514,2033.5848259401
"25","Seram rain forests",18665.8462803814,1986.27167183361
"26","Mentawai Islands rain forests",5943.44097103326,1832.77072982368
"27","Eastern Java-Bali rain forests",53131.0978335286,1353.40314618213
"28","Eastern Java-Bali montane rain forests",15810.8588678067,1171.81454648517
"29","Yapen rain forests",2329.01200939505,1127.60441285745
"30","Sumatran tropical pine forests",2748.01918484307,1085.3090242525
"31","Sumba deciduous forests",10644.6048801117,962.332633231069
"32","Banda Sea Islands moist deciduous forests",6861.12619277274,948.984140821783
"33","Timor and Wetar deciduous forests",18080.1718584328,932.608565134379
"34","Western Java rain forests",41234.6206078457,820.891506353015
"35","Sumatran freshwater swamp forests",17908.5714244305,693.501876203175
"36","Biak-Numfoor rain forests",2553.41943981755,471.921879674181
"37","Peninsular Malaysian rain forests",5289.91868497675,125.556870031058
"38","Buru rain forests",8434.20991454865,68.4751624402058
