"","Ecoregion","ai","pi"
"1","Eastern Tropical Pacific",1332421.63871303,511107.324264769
"2","North Central Pacific Gyre",364620.499505413,76373.8555473355
"3","Inter American Seas",577905.620763138,46536.7822127785
"4","Cortezian",107067.871161754,16442.6902479048
"5","Southern Gulf of Mexico",215643.505687708,14159.0618714043
"6","Western Caribbean",13322.9937916123,12961.7754178153
"7","Southern California Bight",35576.7739614276,12622.7667285284
"8","California Current",434674.635754374,4911.06274824807
"9","Northern Gulf of Mexico",20770.1146061142,1652.8366686811
"10","Magdalena Transition",28423.8146065237,998.591582755621
"11","Revillagigedos",903.957300296366,903.957300296366
"12","Chiapas-Nicaragua",27033.7459358784,255.693002983143
"13","Mexican Tropical Pacific",16876.0050541405,159.326455986315
