"","Ecoregion","ai","pi"
"1","Baja California desert",77040.14257344,46749.2190441963
"2","Sierra Madre Occidental pine-oak forests",215023.354335065,26864.6594642226
"3","Chihuahuan desert",303263.631201707,24842.7462874091
"4","Sierra Madre Oriental pine-oak forests",61491.8822080587,18898.9756708884
"5","Trans-Mexican Volcanic Belt pine-oak forests",92025.5454026887,16404.0593370302
"6","Yucatán moist forests",69133.6107469741,15486.3143315774
"7","Sonoran desert",105872.832776367,14253.7032831624
"8","Gulf of California xeric scrub",23027.6691287732,11242.1118684739
"9","Mesoamerican Gulf-Caribbean mangroves",15357.1807242054,9512.41039958284
"10","Petén-Veracruz moist forests",83883.7206763316,9494.58485078716
"11","Sinaloan dry forests",77281.882823963,8531.96695244397
"12","Tamaulipan mezquital",71600.7381464641,6872.43243961477
"13","Balsas dry forests",62246.5984624407,6774.61497541406
"14","Meseta Central matorral",124975.109825605,6685.42094965658
"15","Pantanos de Centla",17034.397299418,4804.61159744206
"16","Yucatán dry forests",49566.8490729334,4746.12687483316
"17","Veracruz moist forests",68670.1950998891,3428.86380854141
"18","Northern Mesoamerican Pacific mangroves",6623.06611670285,3404.41121476519
"19","Central Mexican matorral",59194.7491934732,3190.35414823406
"20","Western Gulf coastal grasslands",15166.4203485601,2770.02130072526
"21","Bajío dry forests",37383.7210298564,2729.47966052149
"22","Central American pine-oak forests",15925.3656925989,2563.45971351618
"23","Sonoran-Sinaloan subtropical dry forest",50557.1154553574,2468.49604855042
"24","Jalisco dry forests",25319.7443835095,2278.37059849672
"25","Sierra Madre de Chiapas moist forests",5405.57711111882,1807.58012351482
"26","Sierra Madre del Sur pine-oak forests",60973.4879612219,1736.14166436525
"27","Southern Pacific dry forests",41566.8100354284,1702.86184999518
"28","Tehuacán Valley matorral",9861.77513295832,1612.73725386337
"29","Sierra de los Tuxtlas",3846.34247768345,1511.76904528025
"30","Tamaulipan matorral",16236.7532225192,998.542510842437
"31","Sierra de la Laguna pine-oak forests",1061.07359363757,921.968240406154
"32","Sierra Madre de Oaxaca pine-oak forests",14298.3100317358,919.53788731107
"33","Sierra de la Laguna dry forests",3954.75376651705,906.512025360959
"34","Southern Mesoamerican Pacific mangroves",1405.92662229933,885.522131965628
"35","California montane chaparral and woodlands",3997.45022871477,676.79330381144
"36","San Lucan xeric scrub",3626.48199328071,623.878816213429
"37","Central American dry forests",3228.08780213279,462.370266814645
"38","Chiapas Depression dry forests",13082.5258076768,357.155204633485
"39","Veracruz dry forests",6604.52963363232,313.17040340609
"40","Veracruz montane forests",4942.47204156361,303.606085238793
"41","Chimalapas montane forests",2076.65998235109,283.58719768691
"42","Chiapas montane forests",5559.908408128,247.263317411449
"43","California coastal sage and chaparral",11740.7257176985,214.078425604389
"44","Oaxacan montane forests",7576.91788853278,150.872199499273
"45","Islas Revillagigedo dry forests",137.617058842241,137.617058842241
