"","Ecoregion","ai","pi"
"1","Eastern Himalayan alpine shrub and meadows",8612.9053808446,7093.01800427485
"2","Eastern Himalayan broadleaf forests",15312.0372815354,2170.67732617702
"3","Eastern Himalayan subalpine conifer forests",5003.1847293972,2839.43579274835
"4","Himalayan subtropical broadleaf forests",28224.8747444118,2779.85180923827
"5","Himalayan subtropical pine forests",22740.7634889865,835.205869513276
"7","Rock and Ice",6785.40271956714,5026.34174535506
"8","Terai-Duar savanna and grasslands",22392.4624223955,3299.57597609518
"10","Western Himalayan alpine shrub and meadows",21497.3667646148,7757.76503108896
"11","Western Himalayan broadleaf forests",4797.02908441282,915.57857417489
"12","Western Himalayan subalpine conifer forests",12090.3163465083,1759.5318317115
